canon powershot,2240000,0.50,1.05,85.76,43.28,550000
canon canon powershot,2240000,0.00,0,0,0.00,550000
canon canon camera,1830000,0.00,0,0,0.00,673000
canon pixma,1830000,2.34,1.05,214.73,502.79,246000
canon with lens,1220000,0.00,0,0,0.00,450000
canon lens lens,1220000,0.50,1.05,4.01,2.02,450000
the canon 5d,1220000,0.00,0,0,0.00,301000
canon 5d,1220000,0.72,1.05,369.94,267.12,301000
canon is cameras,1000000,11.95,1.05,8.3,99.28,368000
canon cameras,1000000,2.14,1.05,3147.79,"6,739.61",368000
