canon powershot,2240000,0.50,1.05,85.31,42.83,550000
canon canon powershot,2240000,0.00,0,0,0.00,550000
canon canon camera,1830000,0.00,0,0,0.00,673000
canon pixma,1830000,2.22,1.05,224.69,499.80,246000
canon with lens,1220000,0.00,0,0,0.00,450000
canon lens lens,1220000,0.50,1.05,4.01,2.01,450000
the canon 5d,1220000,0.00,0,0,0.00,301000
canon 5d,1220000,0.68,1.05,396.31,267.56,301000
canon is cameras,1000000,11.88,1.05,8.31,98.73,368000
canon cameras,1000000,2.22,1.05,3216.72,"7,153.27",368000
