lawyer,11100000,1.22,1.05,3817.78,"4,656.13",7480000
accident car florida lawyer,2900,0.00,0,0,0.00,1900
criminal defense federal lawyer,2400,0.00,0,0,0.00,1900
miami personal injury lawyer,6600,0.00,0,0,0.00,4400
san diego dui lawyer,4400,12.48,1.05,7.89,98.41,3600
celebrex lawyer,1600,0.00,0,0,0.00,320
new york personal injury lawyer,14800,0.00,0,0,0.00,12100
accident lawyer michigan,2900,9.58,1.05,8.58,82.14,2400
criminal lawyer new york,8100,4.11,1.05,21.82,89.67,6600
chicago personal injury lawyer,9900,2.22,1.05,12.57,27.90,8100
los angeles dui lawyer,8100,36.86,1.05,7.18,264.61,6600
angeles criminal defense lawyer los,6600,0.00,0,0,0.00,6600
irs lawyer tax,2400,0.00,0,0,0.00,1900
criminal dallas lawyer,6600,0.00,0,0,0.00,5400
injury lawyer new york,22200,0.00,0,0,0.00,14800
angeles criminal lawyer los,18100,0.00,0,0,0.00,14800
dui florida lawyer,6600,0.00,0,0,0.00,4400
