lawyer,13600000,1.56,1,1685.01,"2,636.82",9140000
accident car florida lawyer,3600,0.00,0,0,0.00,2400
criminal defense federal lawyer,2400,25.78,1,5.55,143.16,1900
miami personal injury lawyer,6600,0.00,0,0,0.00,5400
san diego dui lawyer,6600,0.00,0,0,0.00,5400
celebrex lawyer,1300,0.00,0,0,0.00,320
new york personal injury lawyer,22200,9.98,1,4.76,47.52,18100
accident lawyer michigan,3600,0.61,1,2.7,1.64,2400
criminal lawyer new york,9900,3.56,1,10.9,38.80,8100
chicago personal injury lawyer,12100,2.12,1,2.56,5.41,9900
los angeles dui lawyer,9900,0.00,0,0,0.00,8100
angeles criminal defense lawyer los,8100,0.00,0,0,0.00,6600
irs lawyer tax,3600,0.00,0,0,0.00,2900
criminal dallas lawyer,8100,0.00,0,0,0.00,6600
injury lawyer new york,27100,0.00,0,0,0.00,22200
angeles criminal lawyer los,22200,0.00,0,0,0.00,18100
dui florida lawyer,8100,0.00,0,0,0.00,5400
