lawyer,13600000,1.68,1,1773.01,"2,974.44",9140000
accident car florida lawyer,3600,0.00,0,0,0.00,2400
criminal defense federal lawyer,2400,0.00,0,0,0.00,1900
miami personal injury lawyer,6600,0.00,0,0,0.00,5400
san diego dui lawyer,6600,4.47,1,2.15,9.62,5400
celebrex lawyer,1300,0.00,0,0,0.00,320
new york personal injury lawyer,22200,5.05,1,16.88,85.16,14800
accident lawyer michigan,3600,27.14,1,3.76,102.17,2400
criminal lawyer new york,9900,3.26,1,14.31,46.70,8100
chicago personal injury lawyer,9900,8.97,1,2.09,18.71,8100
los angeles dui lawyer,9900,8.58,1,17.52,150.33,8100
angeles criminal defense lawyer los,8100,0.00,0,0,0.00,6600
irs lawyer tax,3600,0.00,0,0,0.00,2900
criminal dallas lawyer,8100,0.00,0,0,0.00,6600
injury lawyer new york,27100,0.00,0,0,0.00,22200
angeles criminal lawyer los,22200,0.00,0,0,0.00,18100
dui florida lawyer,8100,0.00,0,0,0.00,5400
