home equity loan,201000,5.82,1,118.4,689.50,165000
home equity loans,165000,8.26,1,89.82,741.96,135000
home equity loan rates,27100,4.15,1,166.53,690.32,22200
equity loan rates,27100,57.88,1,9.4,544.30,27100
equity loan,246000,4.86,1,62.07,301.48,165000
home equity line of credit rates,12100,0.00,0,0,0.00,9900
equity loans,201000,8.12,1,23.2,188.38,165000
line of credit home equity,135000,4.92,1,12.2,60.09,110000
home equity rates,49500,8.76,1,23.92,209.60,40500
equity home,450000,0.37,1,6.44,2.38,301000
home equity poor credit,2900,0.00,0,0,0.00,2400
credit equity home line,135000,0.00,0,0,0.00,110000
equity line of credit,135000,12.70,1,49.84,632.88,110000
equity rates,74000,0.00,0,0,0.00,49500
