credit,101000000,3.22,1,1963.26,"6,325.55",37200000
adverse credit remortgage,880,0.00,0,0,0.00,390
refinance with bad credit,27100,1.18,1,8.7,10.29,22200
egg credit,12100,0.00,0,0,0.00,1000
refinance with poor credit,3600,0.00,0,0,0.00,2900
refinancing with poor credit,3600,0.00,0,0,0.00,2900
egg credit card,12100,0.00,0,0,0.00,480
refinancing with bad credit,22200,5.80,1,18.71,108.44,14800
home equity line of credit rates,9900,0.00,0,0,0.00,8100
refinance poor credit,3600,0.00,0,0,0.00,2900
line of credit home equity,110000,0.00,0,0,0.00,90500
home line of credit,246000,0.00,0,0,0.00,165000
home equity poor credit,2400,0.00,0,0,0.00,1900
credit equity home line,110000,1.07,1,27.82,29.86,90500
equity line of credit,135000,5.65,1,79.71,450.71,110000
credit home line,246000,0.00,0,0,0.00,165000
bad credit mortgage refinance,5400,1.41,1,18.82,26.46,3600
