credit,101000000,2.44,1,1964.95,"4,794.66",37200000
adverse credit remortgage,880,0.00,0,0,0.00,390
refinance with bad credit,27100,2.30,1,7.42,17.07,22200
egg credit,12100,0.00,0,0,0.00,1000
refinance with poor credit,3600,0.00,0,0,0.00,2900
refinancing with poor credit,3600,0.00,0,0,0.00,2900
egg credit card,12100,0.00,0,0,0.00,480
refinancing with bad credit,22200,3.62,1,33.96,122.78,14800
home equity line of credit rates,9900,0.00,0,0,0.00,8100
refinance poor credit,3600,0.00,0,0,0.00,2900
line of credit home equity,110000,1.83,1,15.85,29.07,90500
home line of credit,246000,0.00,0,0,0.00,165000
home equity poor credit,2400,0.00,0,0,0.00,1900
credit equity home line,110000,1.22,1,23.81,29.06,90500
equity line of credit,135000,6.56,1,98.4,645.65,110000
credit home line,246000,0.00,0,0,0.00,165000
bad credit mortgage refinance,5400,2.94,1,19.9,58.50,3600
