credit,101000000,2.95,1.05,595.77,"1,757.84",37200000
adverse credit remortgage,880,0.00,0,0,0.00,390
refinance with bad credit,27100,2.99,1.05,17.25,51.67,18100
egg credit,12100,0.00,0,0,0.00,880
refinance with poor credit,3600,2.51,1.05,14.77,37.02,2900
refinancing with poor credit,3600,16.04,1.05,9.25,148.36,2400
egg credit card,9900,0.00,0,0,0.00,480
refinancing with bad credit,18100,22.18,1.05,9.42,208.96,14800
home equity line of credit rates,9900,0.30,1.05,4.26,1.27,8100
refinance poor credit,3600,2.69,1.05,10.22,27.48,2900
line of credit home equity,110000,7.16,1.05,10.52,75.36,90500
home line of credit,246000,34.48,1.05,9.58,330.47,165000
home equity poor credit,2400,0.00,0,0,0.00,1900
credit equity home line,110000,4.89,1.05,64.32,314.33,90500
equity line of credit,110000,2.28,1.05,162.42,369.89,90500
credit home line,246000,0.00,0,0,0.00,165000
bad credit mortgage refinance,4400,2.12,1.05,37.09,78.45,3600
