credit,101000000,4.89,1,1090.16,"5,331.48",37200000
adverse credit remortgage,1300,0.00,0,0,0.00,590
refinance with bad credit,33100,2.54,1,11.79,29.99,27100
egg credit,14800,0.00,0,0,0.00,1300
refinance with poor credit,5400,0.00,0,0,0.00,4400
refinancing with poor credit,4400,3.79,1,9.95,37.74,3600
egg credit card,14800,0.00,0,0,0.00,590
refinancing with bad credit,27100,1.31,1,6.34,8.32,22200
home equity line of credit rates,12100,7.76,1,3.81,29.57,9900
refinance poor credit,5400,1.64,1,7.92,13.01,4400
line of credit home equity,135000,0.00,0,0,0.00,110000
home line of credit,301000,5.29,1,11.96,63.30,201000
home equity poor credit,2900,3.47,1,3.93,13.63,2400
credit equity home line,135000,0.72,1,4.58,3.28,110000
equity line of credit,135000,9.79,1,33.67,329.64,110000
credit home line,301000,0.00,0,0,0.00,201000
bad credit mortgage refinance,6600,1.59,1,4.17,6.62,4400
