credit,101000000,6.31,1,1779.71,"11,225.35",37200000
adverse credit remortgage,1300,0.00,0,0,0.00,590
refinance with bad credit,33100,1.33,1,1.91,2.54,27100
egg credit,14800,0.00,0,0,0.00,1300
refinance with poor credit,5400,0.00,0,0,0.00,4400
refinancing with poor credit,4400,7.42,1,18.62,138.18,3600
egg credit card,14800,0.00,0,0,0.00,590
refinancing with bad credit,27100,5.00,1,7.3,36.50,22200
home equity line of credit rates,12100,0.00,0,0,0.00,9900
refinance poor credit,5400,0.00,0,0,0.00,4400
line of credit home equity,135000,0.00,0,0,0.00,110000
home line of credit,301000,1.00,1,2.05,2.04,201000
home equity poor credit,2900,0.00,0,0,0.00,2400
credit equity home line,135000,0.00,0,0,0.00,110000
equity line of credit,135000,2.91,1,73.67,214.70,110000
credit home line,301000,0.00,0,0,0.00,201000
bad credit mortgage refinance,6600,2.67,1,23.44,62.65,4400
