credit,101000000,5.71,1,2568.14,"14,674.01",37200000
adverse credit remortgage,1300,0.00,0,0,0.00,590
refinance with bad credit,33100,1.34,1,2.37,3.16,27100
egg credit,14800,0.00,0,0,0.00,1300
refinance with poor credit,5400,0.00,0,0,0.00,4400
refinancing with poor credit,4400,5.80,1,4.65,26.97,3600
egg credit card,14800,0.00,0,0,0.00,590
refinancing with bad credit,27100,0.00,0,0,0.00,22200
home equity line of credit rates,12100,4.88,1,14.36,70.13,9900
refinance poor credit,5400,0.00,0,0,0.00,4400
line of credit home equity,135000,0.00,0,0,0.00,110000
home line of credit,301000,0.76,1,4.74,3.58,201000
home equity poor credit,2900,0.00,0,0,0.00,2400
credit equity home line,135000,0.00,0,0,0.00,110000
equity line of credit,135000,5.20,1,81.49,423.34,110000
credit home line,301000,0.00,0,0,0.00,201000
bad credit mortgage refinance,6600,6.17,1,47.9,295.35,4400
