credit,101000000,4.34,1.05,2031.42,"8,820.78",37200000
adverse credit remortgage,880,0.00,0,0,0.00,390
refinance with bad credit,27100,1.14,1.05,10.85,12.37,22200
egg credit,12100,0.00,0,0,0.00,1000
refinance with poor credit,3600,0.93,1.05,14.42,13.41,2900
refinancing with poor credit,3600,0.00,0,0,0.00,2900
egg credit card,12100,0.00,0,0,0.00,480
refinancing with bad credit,22200,0.00,0,0,0.00,14800
home equity line of credit rates,9900,14.82,1.05,8.86,131.35,8100
refinance poor credit,3600,1.42,1.05,37.71,53.55,2900
line of credit home equity,110000,2.67,1.05,31.81,84.95,90500
home line of credit,246000,0.00,0,0,0.00,165000
home equity poor credit,2400,0.00,0,0,0.00,1900
credit equity home line,110000,0.50,1.05,12.15,6.12,90500
equity line of credit,135000,5.72,1.05,88.04,503.72,110000
credit home line,246000,0.00,0,0,0.00,165000
bad credit mortgage refinance,5400,1.69,1.05,59.52,100.52,3600
