credit,101000000,2.78,1.05,565.84,"1,570.96",37200000
adverse credit remortgage,880,0.00,0,0,0.00,390
refinance with bad credit,27100,3.00,1.05,17.21,51.60,18100
egg credit,12100,0.00,0,0,0.00,880
refinance with poor credit,3600,6.43,1.05,28.69,184.46,2900
refinancing with poor credit,3600,0.00,0,0,0.00,2400
egg credit card,9900,0.00,0,0,0.00,480
refinancing with bad credit,18100,22.72,1.05,9.2,208.97,14800
home equity line of credit rates,9900,0.30,1.05,4.17,1.27,8100
refinance poor credit,3600,0.00,0,0,0.00,2900
line of credit home equity,110000,0.00,0,0,0.00,90500
home line of credit,246000,34.93,1.05,9.45,330.14,165000
home equity poor credit,2400,0.00,0,0,0.00,1900
credit equity home line,110000,3.90,1.05,88.92,346.51,90500
equity line of credit,110000,2.63,1.05,129.25,339.95,90500
credit home line,246000,0.00,0,0,0.00,165000
bad credit mortgage refinance,4400,1.79,1.05,10.34,18.56,3600
