credit,101000000,2.48,1,1937.25,"4,799.37",37200000
adverse credit remortgage,880,0.00,0,0,0.00,390
refinance with bad credit,27100,2.36,1,7.23,17.09,22200
egg credit,12100,0.00,0,0,0.00,1000
refinance with poor credit,3600,0.00,0,0,0.00,2900
refinancing with poor credit,3600,0.00,0,0,0.00,2900
egg credit card,12100,0.00,0,0,0.00,480
refinancing with bad credit,22200,3.65,1,33.63,122.87,14800
home equity line of credit rates,9900,0.00,0,0,0.00,8100
refinance poor credit,3600,0.00,0,0,0.00,2900
line of credit home equity,110000,1.86,1,15.64,29.11,90500
home line of credit,246000,0.00,0,0,0.00,165000
home equity poor credit,2400,0.00,0,0,0.00,1900
credit equity home line,110000,1.25,1,23.24,29.08,90500
equity line of credit,135000,6.63,1,97.46,646.07,110000
credit home line,246000,0.00,0,0,0.00,165000
bad credit mortgage refinance,5400,2.98,1,19.62,58.55,3600
